errorRate	Recall	Nmeas
0	1	N16
0.1	0.99	N16
0.2	0.995	N16
0.3	0.987	N16
0.4	0.964	N16
0.5	0.962	N16
0.6	0.912	N16
0.7	0.772	N16
0.8	0.518	N16
0.9	0.21	N16
1	0.004	N16
0	1	N8
0.1	0.994	N8
0.2	0.972	N8
0.3	0.94	N8
0.4	0.874	N8
0.5	0.79	N8
0.6	0.669	N8
0.7	0.487	N8
0.8	0.291	N8
0.9	0.101	N8
1	0.001	N8
0	1	N4
0.1	0.95	N4
0.2	0.89	N4
0.3	0.79	N4
0.4	0.74	N4
0.5	0.64	N4
0.6	0.52	N4
0.7	0.4	N4
0.8	0.24	N4
0.9	0.02	N4
1	0	N4
